City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Waipawa,NZ,2021-11-01 04:27:25,-41.4122,175.5153,61.3,62,79,4.0
1,Kahului,US,2021-11-01 04:23:18,20.8947,-156.47,78.82,78,20,3.44
2,Ancud,CL,2021-11-01 04:27:25,-41.8697,-73.8203,53.13,93,0,10.2
3,Atuona,PF,2021-11-01 04:27:26,-9.8,-139.0333,78.84,73,0,18.5
4,Puerto Ayora,EC,2021-11-01 04:26:22,-0.7393,-90.3518,68.9,92,37,6.11
5,Ushuaia,AR,2021-11-01 04:23:23,-54.8,-68.3,46.06,71,0,3.44
6,Bambous Virieux,MU,2021-11-01 04:27:28,-20.3428,57.7575,78.22,78,40,6.91
7,Mahebourg,MU,2021-11-01 04:27:28,-20.4081,57.7,78.26,78,40,6.91
8,Beloha,MG,2021-11-01 04:27:29,-25.1667,45.05,74.86,69,24,6.13
9,Cidreira,BR,2021-11-01 04:27:29,-30.1811,-50.2056,67.46,89,7,19.77
10,Poum,NC,2021-11-01 04:27:30,-20.2333,164.0167,75.88,74,1,21.94
11,Bethel,US,2021-11-01 04:27:30,41.3712,-73.414,56.35,84,20,1.99
12,Hobart,AU,2021-11-01 04:25:40,-42.8794,147.3294,66.06,51,75,1.01
13,Arman,RU,2021-11-01 04:27:31,59.7,150.1667,16.75,42,0,4.23
14,Albany,US,2021-11-01 04:26:09,42.6001,-73.9662,53.8,80,54,10.92
15,Mataura,NZ,2021-11-01 04:27:32,-46.1927,168.8643,54.16,73,100,8.43
16,Khatanga,RU,2021-11-01 04:27:32,71.9667,102.5,5.72,96,100,11.63
17,Port Alfred,ZA,2021-11-01 04:23:51,-33.5906,26.891,68.09,73,93,5.82
18,Severo-Kurilsk,RU,2021-11-01 04:27:33,50.6789,156.125,36.63,55,72,24.32
19,Awjilah,LY,2021-11-01 04:27:34,29.1081,21.2869,64.74,86,86,6.11
20,Rikitea,PF,2021-11-01 04:27:35,-23.1203,-134.9692,72.99,76,100,16.78
21,Khani,GE,2021-11-01 04:27:35,41.9563,42.9566,53.17,75,99,7.58
22,Zalantun,CN,2021-11-01 04:27:35,48.0,122.7167,43.27,23,6,4.45
23,Hilo,US,2021-11-01 04:27:36,19.7297,-155.09,76.73,83,90,3.44
24,Qaanaaq,GL,2021-11-01 04:27:36,77.484,-69.3632,18.12,85,100,8.59
25,Disna,BY,2021-11-01 04:27:37,55.568,28.1971,38.98,77,3,7.7
26,Provideniya,RU,2021-11-01 04:27:37,64.3833,-173.3,17.71,62,40,11.18
27,Barrow,US,2021-11-01 04:25:02,71.2906,-156.7887,19.42,86,40,13.8
28,Petropavlovsk-Kamchatskiy,RU,2021-11-01 04:27:38,53.0452,158.6483,36.19,38,40,11.18
29,Punta Arenas,CL,2021-11-01 04:27:39,-53.15,-70.9167,46.51,57,0,8.05
30,Mar Del Plata,AR,2021-11-01 04:23:54,-38.0023,-57.5575,55.09,92,90,5.01
31,Konya,TR,2021-11-01 04:27:39,38.1667,32.5,44.08,71,100,6.76
32,Leningradskiy,RU,2021-11-01 04:27:40,69.3833,178.4167,-0.44,87,99,12.44
33,Krasnoselkup,RU,2021-11-01 04:27:40,65.7,82.4667,4.87,94,100,12.73
34,Carnarvon,AU,2021-11-01 04:27:41,-24.8667,113.6333,73.47,53,33,16.11
35,Busselton,AU,2021-11-01 04:27:41,-33.65,115.3333,61.05,58,78,20.36
36,Guerrero Negro,MX,2021-11-01 04:27:42,27.9769,-114.0611,63.37,86,0,9.75
37,Palora,EC,2021-11-01 04:27:43,-1.7,-77.9333,64.87,97,79,3.02
38,Dikson,RU,2021-11-01 04:27:43,73.5069,80.5464,5.63,94,92,10.25
39,Cape Town,ZA,2021-11-01 04:23:23,-33.9258,18.4232,60.1,87,75,1.01
40,San Francisco,US,2021-11-01 04:23:11,37.7749,-122.4194,60.04,83,40,1.01
41,Jutai,BR,2021-11-01 04:27:44,-5.1833,-68.9,72.55,96,95,1.41
42,Pevek,RU,2021-11-01 04:25:17,69.7008,170.3133,2.89,95,100,6.02
43,Obo,CF,2021-11-01 04:27:45,5.3998,26.4869,67.77,92,100,1.01
44,Kaitangata,NZ,2021-11-01 04:27:46,-46.2817,169.8464,58.62,58,96,12.28
45,Verkhnevilyuysk,RU,2021-11-01 04:24:44,63.4453,120.3167,21.2,74,100,6.24
46,Trairi,BR,2021-11-01 04:25:27,-3.2778,-39.2689,80.55,75,75,10.58
47,Upernavik,GL,2021-11-01 04:27:47,72.7868,-56.1549,27.28,95,100,7.0
48,Nikolskoye,RU,2021-11-01 04:25:18,59.7035,30.7861,48.09,93,97,5.57
49,Georgetown,MY,2021-11-01 04:27:48,5.4112,100.3354,89.53,70,20,3.44
50,Batie,BF,2021-11-01 04:27:48,9.8833,-2.9167,75.88,63,96,4.05
51,Vaini,TO,2021-11-01 04:27:49,-21.2,-175.2,80.76,83,20,9.22
52,Hithadhoo,MV,2021-11-01 04:27:49,-0.6,73.0833,82.45,74,97,20.0
53,Sao Joao Da Barra,BR,2021-11-01 04:27:49,-21.6403,-41.0511,70.41,91,100,17.63
54,Arraial Do Cabo,BR,2021-11-01 04:27:50,-22.9661,-42.0278,69.55,95,100,21.59
55,Lyuban,BY,2021-11-01 04:27:50,52.7985,28.0048,37.27,75,0,7.81
56,Hermanus,ZA,2021-11-01 04:27:51,-34.4187,19.2345,61.81,77,100,13.22
57,Jamestown,US,2021-11-01 04:26:53,42.097,-79.2353,51.39,91,90,5.01
58,Ahipara,NZ,2021-11-01 04:27:52,-35.1667,173.1667,60.89,62,38,13.2
59,Ponta Do Sol,PT,2021-11-01 04:27:52,32.6667,-17.1,71.71,75,44,1.01
60,Laguna,US,2021-11-01 04:23:45,38.421,-121.4238,61.23,81,1,0.0
61,Lakes Entrance,AU,2021-11-01 04:27:54,-37.8811,147.981,75.58,60,90,10.18
62,Baghdad,IQ,2021-11-01 04:23:38,33.3406,44.4009,67.91,64,0,6.91
63,Thompson,CA,2021-11-01 04:27:54,55.7435,-97.8558,26.76,80,75,10.36
64,Belaya Gora,RU,2021-11-01 04:27:55,68.5333,146.4167,-5.49,99,88,1.97
65,Flinders,AU,2021-11-01 04:27:55,-34.5833,150.8552,77.81,65,100,5.01
66,Port Elizabeth,ZA,2021-11-01 04:27:56,-33.918,25.5701,63.1,88,20,20.71
67,Manokwari,ID,2021-11-01 04:27:56,-0.8667,134.0833,81.39,75,100,5.55
68,Sechelt,CA,2021-11-01 04:27:57,49.4664,-123.7694,44.76,61,0,3.87
69,Bredasdorp,ZA,2021-11-01 04:27:57,-34.5322,20.0403,61.29,79,100,6.96
70,Abha,SA,2021-11-01 04:27:58,18.2164,42.5053,53.85,54,0,5.75
71,Chokurdakh,RU,2021-11-01 04:27:58,70.6333,147.9167,-6.75,98,94,7.07
72,Saint-Philippe,RE,2021-11-01 04:27:59,-21.3585,55.7679,78.48,81,61,8.97
73,Aleksandrovsk-Sakhalinskiy,RU,2021-11-01 04:28:01,50.8975,142.1561,33.03,50,10,3.49
74,Puri,IN,2021-11-01 04:28:02,19.8,85.85,82.92,67,13,8.86
75,Araouane,ML,2021-11-01 04:28:03,18.9048,-3.5265,78.37,22,80,11.41
76,San Cristobal,VE,2021-11-01 04:24:47,7.7669,-72.225,64.58,97,98,0.81
77,Tautira,PF,2021-11-01 04:28:04,-17.7333,-149.15,80.62,77,62,15.79
78,Saint-Francois,FR,2021-11-01 04:28:04,46.4154,3.9054,51.48,91,0,2.3
79,Beringovskiy,RU,2021-11-01 04:28:05,63.05,179.3167,3.97,91,69,12.64
80,Katsuura,JP,2021-11-01 04:28:05,35.1333,140.3,68.14,74,99,6.58
81,Kodiak,US,2021-11-01 04:28:06,57.79,-152.4072,42.04,90,100,2.53
82,Bluff,NZ,2021-11-01 04:28:06,-46.6,168.3333,54.75,74,94,30.87
83,Miles City,US,2021-11-01 04:28:06,46.4083,-105.8406,28.51,68,1,5.75
84,Bengkulu,ID,2021-11-01 04:25:09,-3.8004,102.2655,83.61,70,98,6.24
85,Camacari,BR,2021-11-01 04:28:08,-12.6975,-38.3242,76.77,90,66,3.38
86,Castro,BR,2021-11-01 04:28:08,-24.7911,-50.0119,57.22,97,95,7.05
87,Taoudenni,ML,2021-11-01 04:28:08,22.6783,-3.9836,76.15,23,0,11.27
88,Puerto Rondon,CO,2021-11-01 04:28:09,6.2805,-71.1,74.35,95,100,2.89
89,Dalvik,IS,2021-11-01 04:28:10,65.9702,-18.5286,33.73,98,98,10.8
90,East London,ZA,2021-11-01 04:26:58,-33.0153,27.9116,65.68,80,94,13.27
91,Victoria,HK,2021-11-01 04:23:24,22.2855,114.1577,82.45,69,35,1.99
92,Tuktoyaktuk,CA,2021-11-01 04:28:11,69.4541,-133.0374,30.2,80,75,14.97
93,Port Hardy,CA,2021-11-01 04:28:11,50.6996,-127.4199,50.0,75,1,3.44
94,Kota Belud,MY,2021-11-01 04:28:12,6.351,116.4305,89.46,65,100,7.67
95,Klaksvik,FO,2021-11-01 04:28:12,62.2266,-6.589,41.92,72,100,18.77
96,Charters Towers,AU,2021-11-01 04:28:13,-20.1,146.2667,92.8,35,87,18.84
97,Den Helder,NL,2021-11-01 04:28:14,52.9599,4.7593,51.98,85,75,20.0
98,Coihaique,CL,2021-11-01 04:28:14,-45.5752,-72.0662,49.95,53,0,4.61
99,Saskylakh,RU,2021-11-01 04:25:12,71.9167,114.0833,3.78,97,98,5.61
100,Chuy,UY,2021-11-01 04:28:15,-33.6971,-53.4616,63.07,98,94,6.2
101,Westport,US,2021-11-01 04:24:09,41.1415,-73.3579,57.97,89,1,1.01
102,Qiongshan,CN,2021-11-01 04:28:16,20.0058,110.3542,80.58,89,75,13.42
103,Oussouye,SN,2021-11-01 04:28:16,12.485,-16.5469,77.83,84,51,5.88
104,Airai,TL,2021-11-01 04:28:17,-8.9266,125.4092,78.55,42,75,2.35
105,Sorland,NO,2021-11-01 04:28:17,67.667,12.6934,46.47,82,54,15.23
106,Hendersonville,US,2021-11-01 04:28:18,36.3048,-86.62,53.46,88,0,1.99
107,Esperance,AU,2021-11-01 04:28:19,-33.8667,121.9,73.24,56,100,17.87
108,Saint George,US,2021-11-01 04:23:49,37.1041,-113.5841,67.35,46,1,1.01
109,Cherskiy,RU,2021-11-01 04:28:19,68.75,161.3,-2.74,99,100,5.53
110,Batagay-Alyta,RU,2021-11-01 04:28:20,67.8006,130.4114,4.28,78,49,7.49
111,Sovetskaya Gavan,RU,2021-11-01 04:28:20,48.9723,140.2878,37.98,52,21,5.39
112,Bonthe,SL,2021-11-01 04:28:21,7.5264,-12.505,74.66,91,100,3.78
113,Kapaa,US,2021-11-01 04:28:21,22.0752,-159.319,78.78,83,90,4.61
114,Bathsheba,BB,2021-11-01 04:28:22,13.2167,-59.5167,74.01,88,75,17.27
115,Saravan,AM,2021-11-01 04:28:22,39.7196,45.6483,39.85,86,99,1.39
116,Lebu,CL,2021-11-01 04:28:23,-37.6167,-73.65,50.14,94,75,6.22
117,Port Macquarie,AU,2021-11-01 04:28:24,-31.4333,152.9167,73.36,50,99,12.28
118,Ulaangom,MN,2021-11-01 04:26:12,49.9811,92.0667,42.69,25,45,9.55
119,Eenhana,NA,2021-11-01 04:28:24,-17.4667,16.3333,64.49,22,19,3.85
120,Cabo San Lucas,MX,2021-11-01 04:24:23,22.8909,-109.9124,79.9,80,12,1.99
121,Port Moresby,PG,2021-11-01 04:28:25,-9.4431,147.1797,90.82,62,40,17.27
122,Paka,MY,2021-11-01 04:28:26,4.6374,103.4368,85.93,79,40,2.3
123,Havre,FR,2021-11-01 04:28:26,49.5833,0.3333,49.77,81,75,18.41
124,Melendugno,IT,2021-11-01 04:28:27,40.2747,18.3368,55.06,68,87,9.51
125,Pochutla,MX,2021-11-01 04:28:27,15.7432,-96.4661,74.82,93,43,4.45
126,New Norfolk,AU,2021-11-01 04:28:28,-42.7826,147.0587,65.7,48,100,3.0
127,Tiksi,RU,2021-11-01 04:28:29,71.6872,128.8694,7.0,88,99,8.23
128,Hay River,CA,2021-11-01 04:28:29,60.8156,-115.7999,31.98,69,20,10.36
129,Henderson,US,2021-11-01 04:27:53,36.0397,-114.9819,74.64,27,1,0.0
130,Gat,IL,2021-11-01 04:28:30,31.61,34.7642,73.4,48,100,2.95
131,Ucar,AZ,2021-11-01 04:28:31,40.519,47.6542,51.98,81,98,1.79
132,Maryville,US,2021-11-01 04:25:12,35.7565,-83.9705,52.48,91,20,1.01
133,Taitung,TW,2021-11-01 04:24:51,22.7583,121.1444,82.67,65,20,16.11
134,Pisco,PE,2021-11-01 04:28:32,-13.7,-76.2167,61.02,88,0,2.3
135,Sorong,ID,2021-11-01 04:25:49,-0.8833,131.25,82.63,77,71,4.65
136,Norman Wells,CA,2021-11-01 04:28:33,65.282,-126.8329,12.24,85,40,4.61
137,Ornskoldsvik,SE,2021-11-01 04:28:33,63.2909,18.7153,40.82,100,67,3.44
138,Kaeo,NZ,2021-11-01 04:28:34,-35.1,173.7833,65.32,61,93,5.93
139,Alta Floresta,BR,2021-11-01 04:27:21,-9.8756,-56.0861,70.84,99,100,1.36
140,Butaritari,KI,2021-11-01 04:28:35,3.0707,172.7902,82.62,73,6,12.24
141,Bograd,RU,2021-11-01 04:28:35,54.2344,90.8328,33.91,46,77,20.42
142,Nanortalik,GL,2021-11-01 04:28:36,60.1432,-45.2371,33.76,64,56,9.78
143,Zarautz,ES,2021-11-01 04:28:36,43.2844,-2.1699,58.75,89,100,6.06
144,Baiyin,CN,2021-11-01 04:28:37,36.5583,104.2081,41.88,80,100,7.94
145,Naryan-Mar,RU,2021-11-01 04:28:37,67.6713,53.087,6.82,93,5,3.51
146,Rio Gallegos,AR,2021-11-01 04:28:38,-51.6226,-69.2181,48.25,53,0,29.93
147,Letychiv,UA,2021-11-01 04:28:38,49.3826,27.6305,36.19,91,0,8.12
148,Codrington,AU,2021-11-01 04:28:39,-38.2667,141.9667,63.1,68,0,12.15
149,Columbus,US,2021-11-01 04:23:57,39.9612,-82.9988,52.47,76,90,5.01
150,Dong Hoi,VN,2021-11-01 04:28:40,17.4833,106.6,79.95,80,88,6.96
151,Faanui,PF,2021-11-01 04:28:41,-16.4833,-151.75,79.16,73,79,17.31
152,Marshall,US,2021-11-01 04:24:14,34.3834,-86.3333,53.35,83,1,4.61
153,Porto Novo,BJ,2021-11-01 04:28:41,6.4965,2.6036,76.82,86,97,8.57
154,Kargil,IN,2021-11-01 04:28:42,34.5667,76.1,30.69,53,100,0.89
155,Graaff-Reinet,ZA,2021-11-01 04:28:42,-32.2522,24.5308,71.69,28,92,8.21
156,Byron Bay,AU,2021-11-01 04:28:43,-28.65,153.6167,75.06,54,100,7.52
157,Bundaberg,AU,2021-11-01 04:28:43,-24.85,152.35,77.29,50,75,18.41
158,Prudentopolis,BR,2021-11-01 04:28:44,-25.2131,-50.9778,59.2,96,75,3.2
159,Kataysk,RU,2021-11-01 04:28:44,56.289,62.5841,43.09,84,100,11.92
160,Ballina,AU,2021-11-01 04:25:25,-28.8667,153.5667,71.78,55,90,8.05
161,Anchorage,US,2021-11-01 04:28:45,61.2181,-149.9003,46.2,79,40,1.01
162,Nelson Bay,AU,2021-11-01 04:28:46,-32.7167,152.15,75.96,63,100,3.0
163,Luderitz,NA,2021-11-01 04:28:46,-26.6481,15.1594,61.41,68,100,7.16
164,Faya,SA,2021-11-01 04:28:47,18.3851,42.4509,54.12,50,7,6.87
165,Avarua,CK,2021-11-01 04:28:48,-21.2078,-159.775,75.25,69,75,12.66
166,Utica,US,2021-11-01 04:28:48,43.1009,-75.2327,53.89,80,54,1.99
167,Galveston,US,2021-11-01 04:28:49,29.3669,-94.9669,71.56,72,1,4.61
168,Gwanda,ZW,2021-11-01 04:28:49,-20.9333,29.0,65.05,73,0,8.99
169,Baft,IR,2021-11-01 04:28:50,29.234,56.6057,56.19,35,0,9.82
170,Mucurapo,TT,2021-11-01 04:28:50,10.6667,-61.5333,76.24,88,97,5.32
171,Kawalu,ID,2021-11-01 04:28:50,-7.3817,108.2082,83.53,74,99,2.91
172,Iqaluit,CA,2021-11-01 04:28:51,63.7506,-68.5145,28.13,79,75,5.01
173,Ambon,ID,2021-11-01 04:28:51,-3.6954,128.1814,87.94,70,40,6.91
174,Grindavik,IS,2021-11-01 04:28:52,63.8424,-22.4338,35.55,75,75,23.02
175,Xining,CN,2021-11-01 04:28:53,36.6167,101.7667,42.22,63,69,1.95
176,Dongsheng,CN,2021-11-01 04:28:53,39.8161,109.9776,44.98,33,3,9.64
177,Sawtell,AU,2021-11-01 04:28:54,-30.3833,153.1,72.19,64,90,10.36
178,Iquitos,PE,2021-11-01 04:28:54,-3.7481,-73.2472,73.44,94,90,4.61
179,Mayo,US,2021-11-01 04:28:55,38.8876,-76.5119,57.56,85,1,1.01
180,Muravlenko,RU,2021-11-01 04:28:56,63.7898,74.523,1.49,95,13,9.31
181,Mogadishu,SO,2021-11-01 04:28:56,2.0371,45.3438,80.47,89,40,11.5
182,Tiznit,MA,2021-11-01 04:28:57,29.5833,-9.5,60.64,42,0,0.36
183,Maues,BR,2021-11-01 04:28:57,-3.3836,-57.7186,75.27,90,98,1.72
184,Palamos,ES,2021-11-01 04:28:58,41.8484,3.1291,66.31,57,100,5.12
185,Tierra Colorada,MX,2021-11-01 04:28:58,17.1667,-99.5833,73.76,98,90,1.57
186,Nyurba,RU,2021-11-01 04:28:59,63.2842,118.3319,21.72,76,97,6.29
187,Lorengau,PG,2021-11-01 04:28:59,-2.0226,147.2712,83.05,79,100,10.87
188,Honiara,SB,2021-11-01 04:25:53,-9.4333,159.95,81.66,82,98,4.32
189,Narsaq,GL,2021-11-01 04:29:00,60.9167,-46.05,25.02,64,28,7.34
190,Namatanai,PG,2021-11-01 04:24:48,-3.6667,152.4333,85.5,67,70,11.63
191,Jining,CN,2021-11-01 04:29:01,35.405,116.5814,62.67,48,44,6.49
192,Lavrentiya,RU,2021-11-01 04:29:02,65.5833,-171.0,12.49,78,100,9.26
193,Fortuna,US,2021-11-01 04:29:03,40.5982,-124.1573,61.48,69,75,4.0
194,Batsfjord,NO,2021-11-01 04:29:03,70.6345,29.7185,32.22,89,85,10.02
195,Waitara,NZ,2021-11-01 04:29:04,-38.925,174.25,59.72,65,1,16.02
196,Ahuimanu,US,2021-11-01 04:29:05,21.4447,-157.8378,80.31,71,90,4.61
197,Kotelnikovo,RU,2021-11-01 04:29:05,47.6317,43.1461,47.89,79,98,11.1
198,Half Moon Bay,US,2021-11-01 04:29:06,37.4636,-122.4286,60.33,82,1,4.61
199,Brigantine,US,2021-11-01 04:29:07,39.4101,-74.3646,57.25,86,1,8.05
200,Padampur,IN,2021-11-01 04:29:07,29.6833,73.6167,79.47,18,0,7.47
201,Wahpeton,US,2021-11-01 04:29:05,46.2652,-96.6059,35.94,75,90,8.05
202,Longyearbyen,SJ,2021-11-01 04:29:08,78.2186,15.6401,33.64,75,75,19.57
203,Aviles,ES,2021-11-01 04:29:08,43.5547,-5.9248,56.73,67,0,17.27
204,Atambua,ID,2021-11-01 04:29:09,-9.1061,124.8925,87.26,53,70,4.32
205,Kungurtug,RU,2021-11-01 04:29:09,50.5994,97.5228,32.31,71,100,3.56
206,Yatou,CN,2021-11-01 04:29:10,37.15,122.3833,56.03,52,0,16.26
207,Dalby,AU,2021-11-01 04:29:10,-27.1833,151.2667,81.99,30,39,3.0
208,Foumban,CM,2021-11-01 04:29:11,5.7291,10.9001,62.1,94,73,2.62
209,Uruzgan,AF,2021-11-01 04:29:11,32.8333,66.0,49.75,44,0,7.81
210,Sitka,US,2021-11-01 04:29:12,57.0531,-135.33,48.09,43,40,8.05
211,Kuandian,CN,2021-11-01 04:29:13,40.7286,124.7847,49.98,55,5,5.39
212,Karlskrona,SE,2021-11-01 04:29:13,56.1616,15.5866,50.45,81,97,15.41
213,Gillette,US,2021-11-01 04:29:14,44.2911,-105.5022,31.24,65,90,5.75
214,Sao Bento,BR,2021-11-01 04:29:14,-6.2833,-37.75,75.36,65,17,9.15
215,Sola,VU,2021-11-01 04:29:15,-13.8833,167.55,80.94,74,16,14.65
216,Rivers,CA,2021-11-01 04:29:16,50.0308,-100.2403,29.35,74,46,7.92
217,Khandyga,RU,2021-11-01 04:29:17,62.6667,135.6,12.85,92,100,4.83
218,Eureka,US,2021-11-01 04:29:17,40.8021,-124.1637,61.75,69,100,3.0
219,Tasiilaq,GL,2021-11-01 04:29:18,65.6145,-37.6368,24.96,58,3,6.44
220,Tuatapere,NZ,2021-11-01 04:29:18,-46.1333,167.6833,55.26,74,94,11.59
221,Raudeberg,NO,2021-11-01 04:29:18,61.9875,5.1352,50.2,86,100,7.02
222,Camana,PE,2021-11-01 04:29:19,-16.6228,-72.7111,64.24,87,2,6.85
223,Bacolod,PH,2021-11-01 04:29:20,10.6667,122.95,85.98,68,24,16.53
224,Pingliang,CN,2021-11-01 04:29:20,35.5392,106.6861,47.5,78,100,8.08
225,Coquimbo,CL,2021-11-01 04:29:21,-29.9533,-71.3436,55.13,94,75,2.3
226,Katima Mulilo,NA,2021-11-01 04:29:21,-17.5,24.2667,79.34,42,73,4.12
227,Muroto,JP,2021-11-01 04:29:22,33.2833,134.15,73.44,63,63,3.4
228,Launceston,AU,2021-11-01 04:25:31,-41.45,147.1667,66.61,54,84,5.99
229,Vila,PT,2021-11-01 04:29:23,42.0304,-8.1588,45.34,95,91,3.33
230,Talnakh,RU,2021-11-01 04:29:24,69.4865,88.3972,-13.25,98,87,4.34
231,Shingu,JP,2021-11-01 04:29:24,33.7333,135.9833,74.39,65,57,4.94
232,Noyabrsk,RU,2021-11-01 04:29:25,63.1994,75.4507,1.45,96,55,10.25
233,Marawi,PH,2021-11-01 04:29:25,7.9986,124.2928,75.65,72,80,7.38
234,Saint-Augustin,CA,2021-11-01 04:28:29,51.226,-58.6502,43.43,78,100,7.05
235,Kvarkeno,RU,2021-11-01 04:29:26,52.0833,59.725,41.63,90,72,15.14
236,Along,IN,2021-11-01 04:29:27,28.1667,94.7667,76.08,50,16,0.34
237,Moron,AR,2021-11-01 04:28:05,-34.6534,-58.6198,62.29,92,91,5.99
238,Rorvik,NO,2021-11-01 04:26:08,64.8621,11.2373,47.37,73,98,19.28
239,Clyde River,CA,2021-11-01 04:29:28,70.4692,-68.5914,20.35,90,100,6.78
240,Rock Sound,BS,2021-11-01 04:29:28,24.9,-76.2,79.43,52,97,2.91
241,Santa Rosa,PH,2021-11-01 04:29:29,14.3122,121.1114,88.86,66,72,13.65
242,Pangai,TO,2021-11-01 04:29:29,-19.8,-174.35,78.91,65,20,11.5
243,Creston,US,2021-11-01 04:29:30,41.0586,-94.3614,39.85,80,1,5.75
244,Bandarbeyla,SO,2021-11-01 04:29:30,9.4942,50.8122,79.2,76,65,14.72
245,Almaznyy,RU,2021-11-01 04:25:51,48.0448,40.045,44.74,96,0,7.61
246,Kenai,US,2021-11-01 04:29:31,60.5544,-151.2583,41.09,92,90,10.36
247,Port Hedland,AU,2021-11-01 04:29:32,-20.3167,118.5667,80.65,61,90,11.5
248,San Quintin,MX,2021-11-01 04:29:32,30.4833,-115.95,61.93,86,16,6.24
249,Cayenne,GF,2021-11-01 04:29:33,4.9333,-52.3333,82.09,83,75,5.01
250,Oxford,GB,2021-11-01 04:29:33,51.7522,-1.256,49.91,86,75,3.0
251,Trofors,NO,2021-11-01 04:29:34,65.5333,13.4063,45.75,93,100,5.57
252,Kavieng,PG,2021-11-01 04:26:45,-2.5744,150.7967,85.48,69,65,14.14
253,The Pas,CA,2021-11-01 04:29:35,53.8251,-101.2541,33.82,86,90,14.97
254,Hami,CN,2021-11-01 04:29:35,42.8,93.45,53.49,40,100,4.56
255,Flin Flon,CA,2021-11-01 04:29:36,54.7682,-101.865,29.73,93,99,5.97
256,Kendal,GB,2021-11-01 04:29:36,54.3268,-2.7476,48.72,95,93,24.16
257,Nola,IT,2021-11-01 04:29:36,40.922,14.5329,61.93,93,100,2.57
258,Palana,RU,2021-11-01 04:29:37,59.1167,159.9667,14.32,90,99,5.14
259,Sinop,TR,2021-11-01 04:29:37,41.7711,34.8709,54.43,65,99,10.25
260,Comodoro Rivadavia,AR,2021-11-01 04:29:38,-45.8667,-67.5,44.46,81,0,3.44
261,Ostrovnoy,RU,2021-11-01 04:26:31,68.0531,39.5131,30.02,85,83,15.95
262,Puerto Del Rosario,ES,2021-11-01 04:29:39,28.5004,-13.8627,69.55,78,0,12.66
263,Nikolayevka,RU,2021-11-01 04:29:39,53.1257,47.2041,40.39,84,7,7.99
264,Nome,US,2021-11-01 04:29:40,64.5011,-165.4064,14.07,80,1,0.0
265,Garango,BF,2021-11-01 04:29:40,11.8,-0.5506,78.73,28,83,4.47
266,Flora,US,2021-11-01 04:29:41,38.6689,-88.4856,46.18,83,1,1.01
267,Yokadouma,CM,2021-11-01 04:29:41,3.5167,15.05,68.11,100,100,1.61
268,Mizdah,LY,2021-11-01 04:29:42,31.4451,12.9801,64.51,37,5,10.22
269,Ribeira Grande,PT,2021-11-01 04:29:42,38.5167,-28.7,70.81,87,100,7.43
270,Sheridan,US,2021-11-01 04:29:43,44.8333,-106.9173,35.98,58,90,0.0
271,Tranas,SE,2021-11-01 04:29:44,58.0372,14.9782,50.25,77,100,13.47
272,Atar,MR,2021-11-01 04:29:44,20.5169,-13.0499,78.28,20,1,6.33
273,Clovis,US,2021-11-01 04:27:22,36.8252,-119.7029,66.13,87,90,3.44
274,Marfino,RU,2021-11-01 04:29:45,55.7028,37.3822,37.54,92,5,8.95
275,Aklavik,CA,2021-11-01 04:29:46,68.2191,-135.0107,34.52,90,100,6.62
276,Maple Creek,CA,2021-11-01 04:29:36,49.9168,-109.4848,27.01,79,0,5.75
277,Rocha,UY,2021-11-01 04:29:47,-34.4833,-54.3333,64.2,98,97,4.92
278,Mubende,UG,2021-11-01 04:29:47,0.5606,31.39,60.17,99,100,0.72
279,Geraldton,AU,2021-11-01 04:29:48,-28.7667,114.6,70.21,43,58,19.57
